address,city,state,zipcode,latitude,longitude
750 Pennsylvania Ave SE,Washington,District Of Columbia (DC),20003,38.884760816062226,-76.99547516973479
350 Florida Ave. NE,Washington,District Of Columbia (DC),20002,38.907766206612706,-77.0010648095054
2500 Fashion Center Blvd.,Newark,Delaware (DE),19702,39.672893988747575,-75.6472870314714
5605 Concord Pike,Wilmington,Delaware (DE),19803,39.83370800960515,-75.54101103709127
855 S Federal Hwy,Boca Raton,Florida (FL),33432,26.342150013121852,-80.08722196337172
211 S. Dixie Highway,Coral Gables,Florida (FL),33133,25.72927307764823,-80.25816131771577
2796 N. University Drive,Coral Springs,Florida (FL),33065,26.265007783849548,-80.25021191074777
2296 S University Dr,Davie,Florida (FL),33324,26.092729992742058,-80.2511162383834
1851 S Federal Highway #500,Delray Beach,Florida (FL),33483,26.439103990066386,-80.07024701687985
1560 N Federal Hwy,Fort Lauderdale,Florida (FL),33304,26.14808301262002,-80.11896900838192
4983 S. Cleveland Avenue,Fort Myers,Florida (FL),33907,26.587243064580136,-81.86984925617922
3724 SW Archer Rd,Gainesville,Florida (FL),32608,29.62310397979948,-82.37977801001621
11112 San Jose Blvd,Jacksonville,Florida (FL),32223,30.174137000075604,-81.63004803547172
4180 S 3rd St,Jacksonville Beach,Florida (FL),32250,30.25716432467016,-81.38817922461969
3191 NE 1st Ave,Miami,Florida (FL),33137,25.806180991142142,-80.19265398392112
9205 S Dixie Hwy,Miami,Florida (FL),33156,25.68433498297088,-80.31252601198504
1683 West Ave,Miami Beach,Florida (FL),33139,25.79179098168005,-80.14211898676218
10600 Tamiami Trail N,Naples,Florida (FL),34108,26.26793999516775,-81.80052102627256
8323 Sand Lake Rd,Orlando,Florida (FL),32819,28.450656020292385,-81.496572010916
2560 PGA Blvd,Palm Beach Gardens,Florida (FL),33410,26.843747993392753,-80.07416798736628
11960 Pines Blvd,Pembroke Pines,Florida (FL),33026,26.00596901774685,-80.3099940066738
4101 S Tamiami Trail,Sarasota,Florida (FL),34231,27.294856615967518,-82.52996486729475
2742 4th St N,St. Petersburg,Florida (FL),33704,27.797367008308584,-82.63892600435713
3425 Thomasville Rd,Tallahassee,Florida (FL),32309,30.504066017691073,-84.25065400276829
3808 W Swann Ave,Tampa,Florida (FL),33609,27.937267007277,-82.50634600525086
2877 South State Rd 7,Wellington,Florida (FL),33414,26.63686539821181,-80.20572095187647
131 Orlando Ave.,Winter Park,Florida (FL),32789,28.598310997988236,-81.36589503910668
1850 Epps Bridge Pkwy,Athens,Georgia (GA),30606,33.91579401861681,-83.44326097678545
931 Monroe Dr,Atlanta,Georgia (GA),30308,33.77985501372248,-84.36763502860798
3183 Peachtree Rd,Atlanta,Georgia (GA),30305,33.8409610157092,-84.37490096519464
4250 Roswell Road,Marietta,Georgia (GA),30062,33.98365298471583,-84.42608597894483
5185 Peachtree Pkwy,Norcross,Georgia (GA),30092,33.97967510407143,-84.21648907486663
635 W Crossville Rd,Roswell,Georgia (GA),30075,34.0593909817093,-84.37967001664437
6277 Roswell Road NE,Sandy Springs,Georgia (GA),30328,33.92594001904406,-84.37812196294689
920 Ponseti Way,Coralville,Iowa (IA),52241,41.683284832017165,-91.56468737477655
6305 Mills Civic Pkwy,West Des Moines,Iowa (IA),50266,41.56171199007039,-93.79329603807689
300 S Capitol Blvd,Boise,Idaho (ID),83702,43.612994995719276,-116.20375502677808
2986 N. Eagle RD.,Meridian,Idaho (ID),83646,43.6319043597355,-116.35237379761057
1800 S Randall Rd,Algonquin,Illinois (IL),60102,42.15274001571942,-88.33979396537868
17 W Rand Rd,Arlington Heights,Illinois (IL),60004,42.11348098335483,-87.9844339601623
1942 W Fabyan Pkwy,Batavia,Illinois (IL),60510,41.863733000058545,-88.33896901846815
3745 N Lincoln Ave,Chicago,Illinois (IL),60613,41.950021005212335,-87.67514399610234
667 W Diversey Pkwy,Chicago,Illinois (IL),60614,41.93243200049383,-87.64622098190999
1840 N Clybourn Ave,Chicago,Illinois (IL),60614,41.91440298776814,-87.65510999022756
44 E Ontario St,Chicago,Illinois (IL),60611,41.893596002782516,-87.62657002901032
1147 S Wabash Ave,Chicago,Illinois (IL),60605,41.86805701435918,-87.625347025518
1528 E 55th Street,Chicago,Illinois (IL),60615,41.795807984562515,-87.58846899847894
122 Ogden Ave,Downers Grove,Illinois (IL),60515,41.81070300369092,-87.98917300439867
1211 Chicago Avenue,Evanston,Illinois (IL),60202,42.03984298838296,-87.68007699757818
680 Roosevelt Rd,Glen Ellyn,Illinois (IL),60137,41.86053899203452,-88.05899802970653
1407 Waukegan Rd,Glenview,Illinois (IL),60025,42.08100500613497,-87.79715299038084
25 N La Grange Rd,La Grange,Illinois (IL),60525,41.81684601670915,-87.86933198937649
735 W Route 22,Lake Zurich,Illinois (IL),60047,42.18888227929776,-88.10895442408926
1600 S Milwaukee Ave,Libertyville,Illinois (IL),60048,42.25513003405888,-87.94684062150625
44 W Gartner Rd,Naperville,Illinois (IL),60540,41.754210987945186,-88.1406859625786
127 Skokie Blvd,Northbrook,Illinois (IL),60062,42.15023001290402,-87.79825596501969
483 N Harlem Ave,Oak Park,Illinois (IL),60301,41.89007099340208,-87.80472201658633
14924 S La Grange Rd,Orland Park,Illinois (IL),60462,41.61873499938227,-87.85539598569991
190 N NW Highway,Park Ridge,Illinois (IL),60068,42.01260100678195,-87.83219898484283
1426 E Golf Rd,Schaumburg,Illinois (IL),60173,42.05059871002953,-88.04418851110253
4110 W. Jefferson Blvd.,Fort Wayne,Indiana (IN),46804,41.0720679867417,-85.19658899176707
5473 E 82nd St,Indianapolis,Indiana (IN),46250,39.903895007401644,-86.07643803864552
2902 W 86th St,Indianapolis,Indiana (IN),46268,39.912531007971864,-86.21186503498436
1140 East Howard,South Bend,Indiana (IN),46617,41.687810011994,-86.2336159899056
4201 W 119th St,Leawood,Kansas (KS),66209,38.91246501771383,-94.63583295915082
1800 N. Rock Road,Wichita,Kansas (KS),67206,37.716274982186164,-97.24334899207733
2785 Dixie Highway,Crestview Hills,Kentucky (KY),41017,39.02609198308832,-84.5770729727005
2780 Dixie Highway,Crestview Hills,Kentucky (KY),41017,39.03030844604567,-84.57384866719721
2320 Nicholasville Road,Lexington,Kentucky (KY),40503,38.00518344115818,-84.51871470605718
2326 Nicholasville Rd,Lexington,Kentucky (KY),40503,38.00494600925825,-84.51835204126236
4600 Shelbyville Rd Ste 112,Louisville,Kentucky (KY),40207,38.24948401108827,-85.63105496840134
4600 Shelbyville Rd Ste 111,Louisville,Kentucky (KY),40207,38.24948401108827,-85.63105496840134
3535 Perkins Rd,Baton Rouge,Louisiana (LA),70808,30.422293008501782,-91.15233302635716
2949 Veterans Blvd,Metairie,Louisiana (LA),70002,30.00330600874578,-90.15166578045327
145 Great Rd,Acton,Massachusetts (MA),01720,42.482428766080375,-71.4145213139311
199 North Harvard Street,Allston,Massachusetts (MA),02134,42.3635023424232,-71.12969862815444
1427 Massachusetts Ave,Arlington,Massachusetts (MA),02476,42.42534787972707,-71.18791530429755
899 Boylston St,Boston,Massachusetts (MA),02115,42.3485173435642,-71.08412119144765
44 Thomson Place,Boston,Massachusetts (MA),02210,42.3517777362614,-71.04736294180498
1317 Beacon St,Brookline,Massachusetts (MA),02446,42.34192258787431,-71.12050275836164
51 Middlesex Turnpike,Burlington,Massachusetts (MA),01803,42.4734436173334,-71.21074727327132
748 Memorial Dr,Cambridge,Massachusetts (MA),02139,42.35827350167477,-71.11422035429358
211 Alewife Brook Pkwy,Cambridge,Massachusetts (MA),02138,42.390056505049614,-71.14361367707309
350 Patriot Place,Foxborough,Massachusetts (MA),02035,42.08628728151615,-71.27022618021361
659 Worcester Rd,Framingham,Massachusetts (MA),01701,42.29916318892461,-71.42477665628529
